,70115,70130,70118,70005,70131
1996-04-01,131700.0,111600.0,87900.0,131000.0,90900.0
1996-05-01,132900.0,112800.0,88700.0,133000.0,91900.0
1996-06-01,134200.0,114100.0,89700.0,135200.0,92800.0
1996-07-01,135700.0,115400.0,90800.0,137400.0,93800.0
1996-08-01,137300.0,116800.0,91900.0,139400.0,94600.0
1996-09-01,139000.0,118100.0,93100.0,141300.0,95300.0
1996-10-01,141000.0,119400.0,94400.0,143000.0,95900.0
1996-11-01,143000.0,120800.0,95700.0,144400.0,96400.0
1996-12-01,145200.0,122400.0,97200.0,145600.0,96800.0
1997-01-01,147400.0,124000.0,98600.0,146800.0,97300.0
1997-02-01,149500.0,125300.0,99800.0,147600.0,97600.0
1997-03-01,151300.0,126300.0,100800.0,147900.0,97600.0
1997-04-01,152900.0,127200.0,101600.0,147900.0,97600.0
1997-05-01,154100.0,128000.0,102200.0,147500.0,97600.0
1997-06-01,155100.0,128900.0,102600.0,146900.0,97500.0
1997-07-01,155700.0,129600.0,102800.0,145900.0,97500.0
1997-08-01,156100.0,130400.0,102900.0,144600.0,97500.0
1997-09-01,156300.0,130900.0,103000.0,143100.0,97500.0
1997-10-01,156400.0,131400.0,103000.0,141400.0,97600.0
1997-11-01,156300.0,131900.0,102900.0,139700.0,97700.0
1997-12-01,156400.0,132600.0,103000.0,137900.0,97900.0
1998-01-01,156700.0,133400.0,103100.0,136500.0,98200.0
1998-02-01,157000.0,133900.0,103200.0,135200.0,98500.0
1998-03-01,157200.0,134300.0,103300.0,134300.0,98600.0
1998-04-01,157400.0,134600.0,103500.0,133800.0,98700.0
1998-05-01,157600.0,135100.0,103700.0,133900.0,98700.0
1998-06-01,157700.0,135800.0,103900.0,134500.0,98700.0
1998-07-01,157800.0,136600.0,104100.0,135500.0,98500.0
1998-08-01,157800.0,137500.0,104100.0,136800.0,98300.0
1998-09-01,157800.0,138700.0,104100.0,138400.0,98100.0
1998-10-01,157700.0,139800.0,104200.0,140300.0,97900.0
1998-11-01,157500.0,141100.0,104400.0,142400.0,97600.0
1998-12-01,157400.0,142700.0,104900.0,144700.0,97500.0
1999-01-01,157600.0,144500.0,105500.0,147200.0,97500.0
1999-02-01,157800.0,146000.0,106200.0,149400.0,97700.0
1999-03-01,158100.0,147300.0,107100.0,151400.0,97900.0
1999-04-01,158500.0,148600.0,108100.0,153300.0,98300.0
1999-05-01,158900.0,149900.0,109100.0,154800.0,98800.0
1999-06-01,159500.0,151400.0,110200.0,156100.0,99600.0
1999-07-01,160200.0,152900.0,111200.0,157000.0,100500.0
1999-08-01,161100.0,154500.0,112200.0,157600.0,101600.0
1999-09-01,162100.0,156200.0,113200.0,158000.0,102700.0
1999-10-01,163400.0,157800.0,114200.0,158400.0,104000.0
1999-11-01,164800.0,159500.0,115400.0,158700.0,105300.0
1999-12-01,166500.0,161500.0,116800.0,159200.0,106600.0
2000-01-01,168600.0,163700.0,118300.0,159900.0,107900.0
2000-02-01,170900.0,165500.0,119900.0,160800.0,109100.0
2000-03-01,173200.0,167200.0,121600.0,161600.0,110200.0
2000-04-01,175500.0,168800.0,123500.0,162500.0,111300.0
2000-05-01,177700.0,170500.0,125500.0,163500.0,112300.0
2000-06-01,179900.0,172400.0,127500.0,164600.0,113200.0
2000-07-01,182100.0,174400.0,129400.0,165600.0,114200.0
2000-08-01,184200.0,176500.0,131200.0,166800.0,115000.0
2000-09-01,186200.0,178600.0,132800.0,168000.0,115800.0
2000-10-01,188300.0,180700.0,134500.0,169300.0,116600.0
2000-11-01,190300.0,182900.0,136200.0,170800.0,117400.0
2000-12-01,192300.0,185300.0,138100.0,172500.0,118100.0
2001-01-01,194500.0,187800.0,139800.0,174200.0,118900.0
2001-02-01,196800.0,189900.0,141400.0,175800.0,119700.0
2001-03-01,198900.0,191800.0,143000.0,177400.0,120400.0
2001-04-01,201000.0,193500.0,144500.0,179000.0,121100.0
2001-05-01,202900.0,195200.0,146000.0,180400.0,121800.0
2001-06-01,204800.0,197000.0,147400.0,181600.0,122500.0
2001-07-01,206600.0,199000.0,148600.0,182500.0,123200.0
2001-08-01,208600.0,201000.0,149700.0,183200.0,123800.0
2001-09-01,210600.0,202900.0,150800.0,183800.0,124200.0
2001-10-01,212700.0,204700.0,151700.0,184200.0,124700.0
2001-11-01,214900.0,206600.0,152800.0,184600.0,125000.0
2001-12-01,217200.0,208600.0,153900.0,185000.0,125200.0
2002-01-01,219800.0,210600.0,154900.0,185600.0,125500.0
2002-02-01,222600.0,212200.0,156000.0,186300.0,125700.0
2002-03-01,225200.0,213400.0,157100.0,187100.0,125900.0
2002-04-01,227700.0,214400.0,158300.0,188100.0,126200.0
2002-05-01,229900.0,215400.0,159500.0,189100.0,126500.0
2002-06-01,231900.0,216500.0,160400.0,190100.0,126900.0
2002-07-01,233700.0,217800.0,161100.0,190900.0,127300.0
2002-08-01,235400.0,219000.0,161400.0,191700.0,127700.0
2002-09-01,237000.0,220200.0,161600.0,192300.0,128200.0
2002-10-01,238400.0,221400.0,161700.0,192800.0,128600.0
2002-11-01,240500.0,221600.0,161200.0,193500.0,129100.0
2002-12-01,242100.0,219700.0,160500.0,194200.0,129700.0
2003-01-01,241800.0,217400.0,160700.0,194900.0,130200.0
2003-02-01,239900.0,217200.0,162100.0,195700.0,130700.0
2003-03-01,238200.0,218600.0,163300.0,196700.0,131200.0
2003-04-01,236700.0,220200.0,164100.0,197700.0,131700.0
2003-05-01,235900.0,221200.0,164800.0,198800.0,132300.0
2003-06-01,236100.0,221200.0,165900.0,199800.0,132700.0
2003-07-01,237000.0,220500.0,167700.0,200800.0,133200.0
2003-08-01,238300.0,219800.0,170200.0,201600.0,133800.0
2003-09-01,239700.0,219800.0,173100.0,202400.0,134500.0
2003-10-01,240800.0,221000.0,176200.0,203200.0,135200.0
2003-11-01,241600.0,224200.0,179500.0,203900.0,136000.0
2003-12-01,242600.0,229300.0,182600.0,204200.0,136900.0
2004-01-01,244700.0,235500.0,185300.0,204100.0,137900.0
2004-02-01,248100.0,241900.0,187700.0,203400.0,138900.0
2004-03-01,252400.0,248400.0,190400.0,201800.0,140000.0
2004-04-01,257300.0,255400.0,193700.0,199500.0,141100.0
2004-05-01,262000.0,262800.0,197800.0,197400.0,142300.0
2004-06-01,266300.0,270300.0,202400.0,195900.0,143400.0
2004-07-01,270000.0,277100.0,207000.0,195600.0,144600.0
2004-08-01,273300.0,282400.0,211000.0,196100.0,145700.0
2004-09-01,276700.0,285900.0,214200.0,197000.0,147000.0
2004-10-01,280500.0,287800.0,216700.0,198000.0,148400.0
2004-11-01,284500.0,288300.0,218800.0,198900.0,149700.0
2004-12-01,288700.0,287800.0,220400.0,199800.0,150900.0
2005-01-01,293100.0,286300.0,221200.0,200800.0,152000.0
2005-02-01,297500.0,284200.0,221000.0,202000.0,152800.0
2005-03-01,301500.0,282100.0,220200.0,203400.0,153400.0
2005-04-01,305500.0,280000.0,218900.0,205000.0,153900.0
2005-05-01,309500.0,278100.0,217300.0,206400.0,154300.0
2005-06-01,313800.0,276700.0,215800.0,207700.0,154600.0
2005-07-01,318200.0,276000.0,215000.0,209000.0,154900.0
2005-08-01,322400.0,276500.0,214900.0,210400.0,155300.0
2005-09-01,326500.0,278200.0,215600.0,212100.0,155800.0
2005-10-01,330100.0,280500.0,216900.0,214000.0,156500.0
2005-11-01,333200.0,283100.0,218900.0,216100.0,157400.0
2005-12-01,335800.0,286500.0,221500.0,218200.0,158600.0
2006-01-01,337800.0,290700.0,224200.0,220200.0,160100.0
2006-02-01,339300.0,295400.0,227100.0,222100.0,161800.0
2006-03-01,340200.0,300000.0,230200.0,223900.0,163700.0
2006-04-01,340800.0,304600.0,232900.0,225600.0,165500.0
2006-05-01,341300.0,309300.0,234800.0,227100.0,167300.0
2006-06-01,341500.0,314400.0,236100.0,228100.0,169100.0
2006-07-01,341300.0,319600.0,237200.0,228200.0,170600.0
2006-08-01,340800.0,324700.0,238300.0,227400.0,172100.0
2006-09-01,340200.0,329400.0,239500.0,226200.0,173300.0
2006-10-01,339500.0,333400.0,240600.0,224700.0,174300.0
2006-11-01,338500.0,336600.0,241700.0,223100.0,174900.0
2006-12-01,337100.0,338600.0,243000.0,221700.0,175300.0
2007-01-01,336100.0,339800.0,244400.0,220500.0,175400.0
2007-02-01,335600.0,340300.0,246000.0,219700.0,175500.0
2007-03-01,335400.0,339700.0,247900.0,219100.0,175300.0
2007-04-01,335300.0,338300.0,249100.0,218800.0,174800.0
2007-05-01,335700.0,336700.0,249700.0,218700.0,174200.0
2007-06-01,336700.0,335500.0,250400.0,218800.0,173600.0
2007-07-01,337800.0,334000.0,251400.0,219000.0,172900.0
2007-08-01,339200.0,332700.0,253000.0,219500.0,172400.0
2007-09-01,341200.0,331900.0,254700.0,220000.0,171900.0
2007-10-01,343400.0,331500.0,256200.0,220600.0,171200.0
2007-11-01,345600.0,331300.0,257500.0,221000.0,170400.0
2007-12-01,347700.0,331000.0,258200.0,221200.0,169400.0
2008-01-01,349500.0,330700.0,258000.0,221100.0,168300.0
2008-02-01,351000.0,330600.0,257600.0,220700.0,167100.0
2008-03-01,351300.0,330100.0,257300.0,219900.0,165600.0
2008-04-01,350100.0,329300.0,256800.0,218900.0,164100.0
2008-05-01,348400.0,328900.0,256400.0,218000.0,162900.0
2008-06-01,347200.0,328700.0,256900.0,217400.0,162100.0
2008-07-01,346200.0,327700.0,257700.0,217100.0,161800.0
2008-08-01,345400.0,326100.0,258000.0,217100.0,162000.0
2008-09-01,344900.0,324400.0,257400.0,217200.0,162400.0
2008-10-01,344500.0,323000.0,256300.0,217200.0,162800.0
2008-11-01,343700.0,321100.0,255100.0,217000.0,162800.0
2008-12-01,342700.0,319100.0,254100.0,216900.0,162700.0
2009-01-01,341900.0,317500.0,252900.0,216800.0,162600.0
2009-02-01,341800.0,316700.0,252300.0,216800.0,162400.0
2009-03-01,341600.0,315200.0,252100.0,216900.0,162100.0
2009-04-01,340500.0,313000.0,251500.0,216900.0,161600.0
2009-05-01,339100.0,310900.0,250700.0,216900.0,161300.0
2009-06-01,338100.0,309300.0,249900.0,216700.0,160900.0
2009-07-01,336500.0,308100.0,248000.0,215800.0,160400.0
2009-08-01,334400.0,308000.0,245100.0,214200.0,160100.0
2009-09-01,332300.0,308900.0,241300.0,212500.0,160000.0
2009-10-01,330200.0,310400.0,237300.0,211200.0,159700.0
2009-11-01,328400.0,311600.0,234000.0,210300.0,159000.0
2009-12-01,328400.0,312200.0,233200.0,210000.0,158300.0
2010-01-01,328800.0,313800.0,234600.0,210100.0,157800.0
2010-02-01,328500.0,315200.0,234600.0,210200.0,157400.0
2010-03-01,330700.0,317500.0,233100.0,211200.0,157200.0
2010-04-01,334400.0,320100.0,233600.0,212400.0,157100.0
2010-05-01,335500.0,321300.0,235400.0,212300.0,156800.0
2010-06-01,334400.0,319900.0,236200.0,211600.0,156700.0
2010-07-01,334000.0,318200.0,236700.0,211100.0,156700.0
2010-08-01,333800.0,317200.0,237100.0,210500.0,155500.0
2010-09-01,333800.0,315800.0,239000.0,210200.0,153100.0
2010-10-01,334200.0,313100.0,242600.0,210200.0,151100.0
2010-11-01,335300.0,312000.0,245300.0,209800.0,150200.0
2010-12-01,336700.0,314900.0,245800.0,209000.0,149600.0
2011-01-01,337400.0,315700.0,246100.0,209400.0,148500.0
2011-02-01,337500.0,311700.0,246900.0,209200.0,147700.0
2011-03-01,337300.0,307600.0,247800.0,207200.0,147900.0
2011-04-01,337800.0,306100.0,249100.0,205200.0,147400.0
2011-05-01,339700.0,305900.0,249400.0,205100.0,145500.0
2011-06-01,342200.0,308000.0,248600.0,204900.0,143700.0
2011-07-01,346100.0,312200.0,249000.0,204500.0,142500.0
2011-08-01,349400.0,313600.0,251300.0,204000.0,140900.0
2011-09-01,349700.0,312500.0,253600.0,203300.0,139100.0
2011-10-01,348800.0,310900.0,254900.0,202600.0,138000.0
2011-11-01,349300.0,309300.0,255900.0,201700.0,136800.0
2011-12-01,349600.0,307900.0,256300.0,200500.0,135500.0
2012-01-01,349800.0,308400.0,255600.0,198900.0,134200.0
2012-02-01,349700.0,310100.0,255100.0,197900.0,132500.0
2012-03-01,349400.0,311900.0,255900.0,197900.0,130500.0
2012-04-01,350200.0,312200.0,256700.0,198300.0,129600.0
2012-05-01,351100.0,311900.0,256000.0,198300.0,129200.0
2012-06-01,351100.0,311500.0,255000.0,198300.0,127700.0
2012-07-01,350700.0,312200.0,254000.0,198400.0,125300.0
2012-08-01,350900.0,313900.0,252100.0,198700.0,123400.0
2012-09-01,351400.0,315300.0,249900.0,199200.0,122000.0
2012-10-01,352000.0,316700.0,248400.0,199500.0,120400.0
2012-11-01,351800.0,318300.0,247400.0,200000.0,119100.0
2012-12-01,350900.0,316400.0,246500.0,201300.0,118200.0
2013-01-01,351000.0,312400.0,246300.0,202700.0,118200.0
2013-02-01,353400.0,312700.0,247500.0,203800.0,119100.0
2013-03-01,355600.0,317700.0,249000.0,204800.0,120300.0
2013-04-01,358000.0,323800.0,250000.0,205500.0,121400.0
2013-05-01,362400.0,328600.0,252000.0,206300.0,123400.0
2013-06-01,366400.0,331400.0,254800.0,207400.0,125900.0
2013-07-01,366800.0,331900.0,256800.0,208900.0,128700.0
2013-08-01,366800.0,333900.0,258700.0,210800.0,131500.0
2013-09-01,368700.0,336600.0,261600.0,212600.0,134000.0
2013-10-01,370900.0,340100.0,264500.0,213900.0,135900.0
2013-11-01,372500.0,343800.0,266200.0,215500.0,137700.0
2013-12-01,374100.0,347300.0,267000.0,215800.0,139900.0
2014-01-01,375900.0,348500.0,268000.0,215100.0,141900.0
2014-02-01,377600.0,350000.0,269700.0,214500.0,142900.0
2014-03-01,378200.0,349900.0,270700.0,215000.0,142800.0
2014-04-01,376900.0,348200.0,270600.0,215400.0,142600.0
2014-05-01,375100.0,348100.0,271600.0,215300.0,143100.0
2014-06-01,374800.0,350000.0,274200.0,215100.0,144000.0
2014-07-01,375000.0,350500.0,275200.0,215300.0,145200.0
2014-08-01,374500.0,348800.0,273800.0,215800.0,146500.0
2014-09-01,375700.0,348800.0,272400.0,215600.0,147700.0
2014-10-01,377400.0,350000.0,270800.0,214500.0,148800.0
2014-11-01,376100.0,350000.0,269300.0,213400.0,149500.0
2014-12-01,372800.0,348600.0,268300.0,212500.0,149400.0
2015-01-01,371400.0,348800.0,267500.0,212000.0,149500.0
2015-02-01,370500.0,349400.0,266300.0,212100.0,149800.0
2015-03-01,370300.0,349800.0,265500.0,212000.0,149900.0
2015-04-01,372500.0,351100.0,264400.0,211400.0,150400.0
2015-05-01,375900.0,353100.0,262700.0,210900.0,151100.0
2015-06-01,378500.0,355400.0,261200.0,211000.0,151700.0
2015-07-01,381300.0,358600.0,261100.0,211300.0,151800.0
2015-08-01,386800.0,365900.0,263000.0,211200.0,151500.0
2015-09-01,393500.0,378600.0,264900.0,211000.0,150900.0
2015-10-01,402300.0,392200.0,269900.0,211300.0,149800.0
2015-11-01,415600.0,401900.0,280000.0,211900.0,149600.0
2015-12-01,431300.0,412600.0,292900.0,212400.0,150900.0
2016-01-01,442500.0,426600.0,302300.0,213000.0,152500.0
2016-02-01,450000.0,437700.0,308900.0,214000.0,153500.0
2016-03-01,457600.0,444000.0,314200.0,215100.0,154200.0
2016-04-01,465600.0,454200.0,323400.0,216300.0,154500.0
2016-05-01,474000.0,467100.0,336100.0,218300.0,154800.0
2016-06-01,485300.0,479200.0,347700.0,222300.0,154000.0
2016-07-01,500600.0,489700.0,357500.0,227200.0,151900.0
2016-08-01,514400.0,496000.0,367200.0,231900.0,150900.0
2016-09-01,525400.0,499100.0,374500.0,236600.0,152600.0
2016-10-01,536500.0,503300.0,378100.0,241200.0,155400.0
2016-11-01,547400.0,510100.0,380500.0,245600.0,157300.0
2016-12-01,556100.0,520500.0,382200.0,250800.0,158200.0
2017-01-01,562200.0,532400.0,383100.0,256100.0,158000.0
2017-02-01,570000.0,548600.0,383200.0,260500.0,157200.0
2017-03-01,580400.0,567500.0,384700.0,264300.0,156800.0
2017-04-01,587400.0,575900.0,386700.0,269600.0,157200.0
2017-05-01,589700.0,576300.0,388200.0,275000.0,157500.0
2017-06-01,592000.0,579400.0,389500.0,277800.0,158500.0
2017-07-01,594100.0,583400.0,392200.0,277600.0,160700.0
2017-08-01,598100.0,590100.0,397200.0,277900.0,162600.0
2017-09-01,603200.0,595000.0,403300.0,279800.0,163400.0
2017-10-01,603000.0,593900.0,406100.0,282500.0,164400.0
2017-11-01,599000.0,595200.0,405400.0,285100.0,164900.0
2017-12-01,596700.0,599300.0,404000.0,287500.0,164600.0
2018-01-01,599800.0,602400.0,405500.0,289400.0,164100.0
2018-02-01,603200.0,598300.0,409200.0,290200.0,165000.0
2018-03-01,599600.0,590500.0,411200.0,290800.0,166900.0
2018-04-01,592300.0,587100.0,409700.0,291600.0,167800.0
